Instruction,Input,Output,materi,question_id,Template,correct_answer
Write a Python snippet to print the difference between the largest and smallest values in a given array.,"[1,2,3,4,5]","def diff_max_min(numbers):
    return max(numbers) - min(numbers)
  
if __name__ == '__main__':
    nums = [1,2,3,4,5]
    diff = diff_max_min(nums)
    print(diff)",Introduction Python,359,"def diff_max_min(numbers):
    return max(numbers) - min(numbers)
  
if __name__ == '__main__':
    nums = [1,2,3,4,5]
    diff = diff_max_min(nums)
    print(___)",diff
"Generate code in Python to accept student information like name, age, course and print it.","Name: John Doe
Age: 23
Course: Data Science","name = ""John Doe""
age = 23
course = ""Data Science""

print(""Name: "" + name)
print(""Age: "" + str(age))
print(""Course: "" + course)",Introduction Python,361,"name = ""John Doe""
age = 23
course = ""Data Science""

print(___)
print(""Age: "" + str(age))
print(""Course: "" + course)","""Name: "" + name"
Write a Python program to print even numbers from 0 to the number provided,N = 30,"def print_even_numbers(N):
    for x in range(0, N+1):
        if x%2 == 0:
            print(x)",Introduction Python,367,"def print_even_numbers(N):
    for x in range(0, N+1):
        if x%2 == 0:
            print(___)",x
"Write a Python program to print a Fibonacci sequence with a length of n, where n is a given number that is equal to or greater than 0.",n = 5,"def fibonacci(n):
 # Base Case
 if n == 0: 
 return []
 elif n == 1: 
 return [0] 

 # Recursive Case
 else: 
 l = fibonacci(n-1) 
 l.append(l[-1]+l[-2]) 
 return l

# Driver Program 
n = 5
print(fibonacci(n)) 
# Output: [0, 1, 1, 2, 3]",Introduction Python,373,"def fibonacci(n):
 # Base Case
 if n == 0: 
 return []
 elif n == 1: 
 return [0] 

 # Recursive Case
 else: 
 l = fibonacci(n-1) 
 l.append(l[-1]+l[-2]) 
 return l

# Driver Program 
n = 5
print(___)) 
# Output: [0, 1, 1, 2, 3]",fibonacci(n
"Convert the following code from Java to Python:

public class HelloWorld {
 public static void main(String[] args) {
 System.out.println(""Hello World"");
 }
}","public class HelloWorld { 
 public static void main(String[] args) {
 System.out.println(""Hello World"");
 }
}","def main():
 print(""Hello World"")

if __name__ == ""__main__"":
 main()",Introduction Python,377,"def main():
 print(___)

if __name__ == ""__main__"":
 main()","""Hello World"""
"Given a number, write a Python program to print the multiplication table of that number.",Number: 5,"for i in range(1, 11):
 print(5, 'X', i, '=', 5*i)",Introduction Python,420,"for i in range(1, 11):
 print(___)","5, 'X', i, '=', 5*i"
Write a Python program to print a given dictionary where the keys are numbers between 1 and 3 and the values are a list from 1 to the number key.,-,"d = {1: [1], 2: [1,2], 3: [1,2,3]}
for k,v in d.items():
    print(k,v)",Introduction Python,445,"d = {1: [1], 2: [1,2], 3: [1,2,3]}
for k,v in d.items():
    print(___)","k,v"
Write Python code to print the number present in an inputted string.,"string_1 = ""The temperature is 24 degrees Celsius""","def print_numbers_in_string(string):
    numbers = [int(s) for s in string.split() if s.isdigit()]
    print(numbers)

string_1 = ""The temperature is 24 degrees Celsius""
print_numbers_in_string(string_1)

# Output
# [24]",Introduction Python,464,"def print_numbers_in_string(string):
    numbers = [int(s) for s in string.split() if s.isdigit()]
    print(___)

string_1 = ""The temperature is 24 degrees Celsius""
print_numbers_in_string(string_1)

# Output
# [24]",numbers
Create a program in Python to print all elements of a given set.,"{10, 20, 30}","my_set = {10, 20, 30}
for i in my_set:
    print(i)",Introduction Python,466,"my_set = {10, 20, 30}
for i in my_set:
    print(___)",i
Create a Python program for calculating the Fibonacci sequence. The program should print the n-th number of the sequence.,n: 7,"def fibonacci(n): 
 if n <= 0: 
 return 0 
 elif n == 1: 
 return 1 
 else: 
 return fibonacci(n-1) + fibonacci(n-2) 

n = 7 
print(fibonacci(n)) # Output: 13",Introduction Python,470,"def fibonacci(n): 
 if n <= 0: 
 return 0 
 elif n == 1: 
 return 1 
 else: 
 return fibonacci(n-1) + fibonacci(n-2) 

n = 7 
print(___)) # Output: 13",fibonacci(n
Generate a Python source code to print the last element from a given list.,"['Apple', 'Orange', 'Banana']","arr = ['Apple', 'Orange', 'Banana']
last_element = arr[-1]
print(last_element)  # Result: Banana",Introduction Python,496,"arr = ['Apple', 'Orange', 'Banana']
last_element = arr[-1]
print(___)  # Result: Banana",last_element
Write a Python program to print out the restults of a list of functions,"functions = [max, min, sum]
list = [1,2,3,4,5]","def print_results(functions, list): 
  for func in functions: 
    print(func.__name__ + "": "" + str(func(list)))
    
print_results(functions, list)",Introduction Python,504,"def print_results(functions, list): 
  for func in functions: 
    print(___)))
    
print_results(functions, list)","func.__name__ + "": "" + str(func(list"
"Given a Python dictionary, find the most common value in the dictionary and print it out.","d = {‘python’: 20, ‘java’: 10, ‘c++’: 15, ‘C#’: 15}","from collections import Counter 

d = {‘python’: 20, ‘java’: 10, ‘c++’: 15, ‘C#’: 15}

#Get most common value
data = Counter(d) 
most_common_value = data.most_common(1)[0][0]  

#Print out most common value
print(most_common_value)",Introduction Python,526,"from collections import Counter 

d = {‘python’: 20, ‘java’: 10, ‘c++’: 15, ‘C#’: 15}

#Get most common value
data = Counter(d) 
most_common_value = data.most_common(1)[0][0]  

#Print out most common value
print(___)",most_common_value
Write a Python program to compare two lists of strings and print unique values in each list.,"list1 = [""cat"", ""dog"", ""bird""]
list2 = [""dog"", ""mouse"", ""elephant""]","list1_unique = []
list2_unique = []

for a in list1:
    if a not in list2:
        list1_unique.append(a)
        
for b in list2:
    if b not in list1:
        list2_unique.append(b)

print(""Unique elements in List 1: "", list1_unique)
print(""Unique elements in List 2: "", list2_unique)",Introduction Python,530,"list1_unique = []
list2_unique = []

for a in list1:
    if a not in list2:
        list1_unique.append(a)
        
for b in list2:
    if b not in list1:
        list2_unique.append(b)

print(___)
print(""Unique elements in List 2: "", list2_unique)","""Unique elements in List 1: "", list1_unique"
Create a function in Python to print a dictionary in a formatted way,"d={'Name':'Donald Trump', 'Age': 70, 'Profession': 'President'}","def print_dict(d):
    for key, value in d.items():
        print(f""{key}: {value}"")

print_dict(d)

# Output: 
Name: Donald Trump
Age: 70
Profession: President",Introduction Python,543,"def print_dict(d):
    for key, value in d.items():
        print(___)

print_dict(d)

# Output: 
Name: Donald Trump
Age: 70
Profession: President","f""{key}: {value}"""
Compose a Python program to print the first hundred odd numbers.,Not appliable,"# declaring an empty list
odds = []

# looping for a range of 1 to 100
for n in range(1,101):
# check if the number is odd
 if n % 2 != 0:
  # add the odd numbers to the list
  odds.append(n)

# print the list
print(odds)",Introduction Python,556,"# declaring an empty list
odds = []

# looping for a range of 1 to 100
for n in range(1,101):
# check if the number is odd
 if n % 2 != 0:
  # add the odd numbers to the list
  odds.append(n)

# print the list
print(___)",odds
Create a for-loop in Python to print a list of strings that contain only the vowels from a given list of strings.,"words = [""apple"", ""bear"", ""cat"", ""dog""]","for word in words:
    vowels = """"
    for x in word:
        if x in ('a', 'e', 'i', 'o', 'u'):
            vowels += x
    print(vowels)",Introduction Python,599,"for word in words:
    vowels = """"
    for x in word:
        if x in ('a', 'e', 'i', 'o', 'u'):
            vowels += x
    print(___)",vowels
"Given a list of integers, write a Python program to print the latest 3 largest numbers.","[5, 1, 10, 25, 74, 17, 2]","def print_largest_three_numbers(numbers): 
    numbers.sort(reverse=True) 
    print(*numbers[:3], sep = "", "") 

print_largest_three_numbers([5, 1, 10, 25, 74, 17, 2])

Output:
74, 25, 17",Introduction Python,629,"def print_largest_three_numbers(numbers): 
    numbers.sort(reverse=True) 
    print(___) 

print_largest_three_numbers([5, 1, 10, 25, 74, 17, 2])

Output:
74, 25, 17","*numbers[:3], sep = "", """
Optimize an existing Python code snippet to print all even numbers between 1 and 10.,"num = 1
while num<=10:
    print(num)
    num+=1","num = 0
while num<=10:
    if num % 2 == 0:
        print(num)
    num+=1",Introduction Python,650,"num = 0
while num<=10:
    if num % 2 == 0:
        print(___)
    num+=1",num
Write a for loop to print all the keys and values of a Python dictionary.,"my_dict = {
    ""name"": ""John"",
    ""age"": 30,
    ""city"": ""New York""
}","for key,value in my_dict.items(): 
    print(key,"" :"",value)",Introduction Python,657,"for key,value in my_dict.items(): 
    print(___)","key,"" :"",value"
Create a function in Python to print Pascal's Triangle of a given number of rows.,6,"def pascal_triangle(n):
    triangle = []

    for i in range(n):
        row = [1] * (i+1)
        triangle.append(row)

        for j in range(1,i):
            row[j] = triangle[i-1][j-1] + triangle[i-1][j]

    for row in triangle:
        print(row)

pascal_triangle(6) 
# Output: [1]
# [1, 1]
# [1, 2, 1]
# [1, 3, 3, 1]
# [1, 4, 6, 4, 1]
# [1, 5, 10, 10, 5, 1]",Introduction Python,671,"def pascal_triangle(n):
    triangle = []

    for i in range(n):
        row = [1] * (i+1)
        triangle.append(row)

        for j in range(1,i):
            row[j] = triangle[i-1][j-1] + triangle[i-1][j]

    for row in triangle:
        print(___)

pascal_triangle(6) 
# Output: [1]
# [1, 1]
# [1, 2, 1]
# [1, 3, 3, 1]
# [1, 4, 6, 4, 1]
# [1, 5, 10, 10, 5, 1]",row
Write a Python program to print out the triangle pattern given an height n as input.,height = 4,"def print_triangle(n): 

    for i in range(n): 
        for j in range(i+1): 
            print(""*"",end="""") 
        print() 
  
n = 4
print_triangle(n)

# Output
# *
# **
# ***
# ****",Introduction Python,777,"def print_triangle(n): 

    for i in range(n): 
        for j in range(i+1): 
            print(___) 
        print() 
  
n = 4
print_triangle(n)

# Output
# *
# **
# ***
# ****","""*"",end="""""
Create a Python program to sort and print out the elements of an array of integers.,"[17, 41, 5, 22, 54, 6, 29, 3, 13]","arr = [17, 41, 5, 22, 54, 6, 29, 3, 13]

arr.sort()

print(arr)

# Output: [3, 5, 6, 13, 17, 22, 29, 41, 54]",Introduction Python,783,"arr = [17, 41, 5, 22, 54, 6, 29, 3, 13]

arr.sort()

print(___)

# Output: [3, 5, 6, 13, 17, 22, 29, 41, 54]",arr
Create a program in Python to compute and print the factorial of a given number.,Number: 5,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)

num = 5

print(""The factorial of"", num, ""is"", factorial(num))",Introduction Python,813,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)

num = 5

print(___))","""The factorial of"", num, ""is"", factorial(num"
Develop a python code to print a dictionary’s key-value pairs in sorted order of keys.,"{'a': 5, 'c': 10, 'b': 4}","my_dict = {'a': 5, 'c': 10, 'b': 4}

for key in sorted(my_dict):
    print(key, my_dict[key])

# Output:
# a 5
# b 4
# c 10",Introduction Python,827,"my_dict = {'a': 5, 'c': 10, 'b': 4}

for key in sorted(my_dict):
    print(___)

# Output:
# a 5
# b 4
# c 10","key, my_dict[key]"
Create a python script to print the following output with the help of list and dictionary.,"{
    ""Name"": ""Harry"",
    ""Age"": 23,
    ""Country"": ""India""
}","name = {
    ""Harry""
}
age = {
    23
}
country = {
    ""India""
}

data_list = [name, age, country]

for item in data_list:
    print(item)",Introduction Python,859,"name = {
    ""Harry""
}
age = {
    23
}
country = {
    ""India""
}

data_list = [name, age, country]

for item in data_list:
    print(___)",item
Create a script in Python to print the squares of all numbers in the given list.,"[1, 2, 3, 4, 5]","for n in [1, 2, 3, 4, 5]:
 print(n**2)",Introduction Python,877,"for n in [1, 2, 3, 4, 5]:
 print(___)",n**2
Write a Python program to calculate the sum of two numbers (input in separate lines) and print it.,"2
3","num1 = int(input())
num2 = int(input())
sum_of_nums
print(sum_of_nums)",Introduction Python,886,"num1 = int(input())
num2 = int(input())
sum_of_nums
print(___)",sum_of_nums
Write a Python program to print a calendar of the given month and year,"month = 11
year = 2020","import calendar

c = calendar.TextCalendar(calendar.SUNDAY)
str = c.formatmonth(year, month)
print(str)",Introduction Python,894,"import calendar

c = calendar.TextCalendar(calendar.SUNDAY)
str = c.formatmonth(year, month)
print(___)",str
Embed a mathematical expression in Python and print the expression.,x**3 + 2*x**2 + 3,"expression = 'x**3 + 2*x**2 + 3'

print(eval(expression))",Introduction Python,930,"expression = 'x**3 + 2*x**2 + 3'

print(___))",eval(expression
Write a Python program to print the largest number from a given list.,"my_list = [1, 5, 10, 20, 8]","my_list = [1, 5, 10, 20, 8]

largest = max(my_list)
print(""The largest number from the given list is: "" + str(largest))",Introduction Python,933,"my_list = [1, 5, 10, 20, 8]

largest = max(my_list)
print(___))","""The largest number from the given list is: "" + str(largest"
Develop a Python code to print the pairs of the numbers in the given list which adds up to the given target number.,"[1, 5, 9, 4], 10","def pairs_adding_to_target(nums, target): 
 
	result = [] 
	for i in range(0, len(nums)): 
		for j in range(i+1, len(nums))	: 
			if nums[i] + nums[j] == target:	 
				result.append([nums[i], nums[j]]) 
	return result 

result = pairs_adding_to_target([1, 5, 9, 4], 10)
print(result)",Introduction Python,950,"def pairs_adding_to_target(nums, target): 
 
	result = [] 
	for i in range(0, len(nums)): 
		for j in range(i+1, len(nums))	: 
			if nums[i] + nums[j] == target:	 
				result.append([nums[i], nums[j]]) 
	return result 

result = pairs_adding_to_target([1, 5, 9, 4], 10)
print(___)",result
Write a Python program to print a frequency table for the given data.,"data = [2, 4, 7, 1, 6, 4, 7, 2, 6, 3]","from collections import Counter

data = [2, 4, 7, 1, 6, 4, 7, 2, 6, 3]

counts = Counter(data)

for item, count in counts.items():
    print(f'{item} : {count}')

# Output
# 2 : 2
# 4 : 2
# 7 : 2
# 1 : 1
# 6 : 2
# 3 : 1",Introduction Python,1000,"from collections import Counter

data = [2, 4, 7, 1, 6, 4, 7, 2, 6, 3]

counts = Counter(data)

for item, count in counts.items():
    print(___)

# Output
# 2 : 2
# 4 : 2
# 7 : 2
# 1 : 1
# 6 : 2
# 3 : 1",f'{item} : {count}'
"Using the data provided, write a Python program to find and print the root of the quadratic equation ax2 + bx + c = 0","a = 1, b = 5, c = 6","import math

a = 1
b = 5
c = 6

# calculate the discriminant
d = (b**2) - (4*a*c)

# find the two solutions 
sol1 = (-b-math.sqrt(d))/(2*a)
sol2 = (-b+math.sqrt(d))/(2*a)

print('The solutions are {0} and {1}'.format(sol1, sol2))",Introduction Python,1023,"import math

a = 1
b = 5
c = 6

# calculate the discriminant
d = (b**2) - (4*a*c)

# find the two solutions 
sol1 = (-b-math.sqrt(d))/(2*a)
sol2 = (-b+math.sqrt(d))/(2*a)

print(___))","'The solutions are {0} and {1}'.format(sol1, sol2"
Modify the following Python code to select and print out the negative elements from an array.,"[3,4,1,-6,9,10,-2,-8,-4]","my_list = [3,4,1,-6,9,10,-2,-8,-4]

def select_negative_elements(my_list):
    negative_elements = []

    for x in my_list:
        if x < 0:
            negative_elements.append(x)

    return negative_elements

print(select_negative_elements(my_list))",Introduction Python,1058,"my_list = [3,4,1,-6,9,10,-2,-8,-4]

def select_negative_elements(my_list):
    negative_elements = []

    for x in my_list:
        if x < 0:
            negative_elements.append(x)

    return negative_elements

print(___))",select_negative_elements(my_list
"Implement a basic linear search algorithm in Python that searches a list of numbers for a given target value and returns the index of the target value if it is present, otherwise it returns -1.","arr = [1, 3, 5, 6, 9, 17],
target = 6","def linear_search(arr, target):
 for i in range(len(arr)):
 if arr[i] == target:
 return i
 return -1

print(linear_search(arr, target)) # 3 (index of 6)",Introduction Python,1065,"def linear_search(arr, target):
 for i in range(len(arr)):
 if arr[i] == target:
 return i
 return -1

print(___)) # 3 (index of 6)","linear_search(arr, target"
Add code in python to the given argument to iterate over a list of numbers and print the even numbers.,"[1,2,3,4,5]","# Iterate over numbers
for num in [1,2,3,4,5]:
  # Check for even
  if(num % 2 == 0):
    # Print the even numbers
    print(num)",Introduction Python,1067,"# Iterate over numbers
for num in [1,2,3,4,5]:
  # Check for even
  if(num % 2 == 0):
    # Print the even numbers
    print(___)",num
Generate a valid Python code that will print the given message,Hello World!,"print(""Hello World!"")",Introduction Python,1068,print(___),"""Hello World!"""
Write a Python function to print prime numbers between two given numbers.,"low = 5, high = 10","def print_prime_numbers_between_two_numbers(low, high): 
    for numb in range(low,high + 1): 
        if numb > 1: 
            for i in range(2,numb): 
                if (numb % i) == 0: 
                    break
            else: 
                print(numb) 

#calling the function
print_prime_numbers_between_two_numbers(5, 10)",Introduction Python,1077,"def print_prime_numbers_between_two_numbers(low, high): 
    for numb in range(low,high + 1): 
        if numb > 1: 
            for i in range(2,numb): 
                if (numb % i) == 0: 
                    break
            else: 
                print(___) 

#calling the function
print_prime_numbers_between_two_numbers(5, 10)",numb
Create a Python program to print out the prime numbers between the given input range.,"min = 1
max = 10","def print_primes(min, max):
  for num in range(min, max+1):
    if num > 1:
      for i in range(2, num):
        if (num % i) == 0:
          break
      else:
        print(num)
  
# Driver Code
min = 1
max = 10

print_primes(min, max)

# Output:
# 2
# 3
# 5
# 7",Introduction Python,1088,"def print_primes(min, max):
  for num in range(min, max+1):
    if num > 1:
      for i in range(2, num):
        if (num % i) == 0:
          break
      else:
        print(___)
  
# Driver Code
min = 1
max = 10

print_primes(min, max)

# Output:
# 2
# 3
# 5
# 7",num
Construct a for loop in Python to print the characters in a string.,"""Hello World""","for char in ""Hello World"":
    print(char)",Introduction Python,1133,"for char in ""Hello World"":
    print(___)",char
Write a python program to print the elements in a list which are not repeated more than once.,"[1, 2, 3, 2, 4, 2, 3]","result = []
for ele in list:
    if list.count(ele) == 1:
        result.append(ele)
print(result) # Output: [1, 4]",Introduction Python,1151,"result = []
for ele in list:
    if list.count(ele) == 1:
        result.append(ele)
print(___) # Output: [1, 4]",result
Create a for loop statement in Python to iterate over a list and print the each item in the list.,"[1,2,3,4,5]","for i in [1,2,3,4,5]:
    print(i)",Introduction Python,1181,"for i in [1,2,3,4,5]:
    print(___)",i
